Page,Source,Comment,Sentiment 
23,Glassdoor,"Literally everything else. They see cabin crew as numbers not people, treat us as children and do not care about your life at all. It’s extremely hard to get emergency leave when someone in your family dies, you get called in for meetings with your manager constantly, over the most ridiculous things and always on your days off, if you call sick you’re seen as weak, you get warnings for gaining weight, not applying enough make up, applying too much make up, if your uniform is not ironed the way they want it to be, if someone steals your bag or your bag gets ruined/broken, if you don’t literally glue your baby hair to your forehead, if you are a man and your beard grows during a 15-17h flight they want you to shave it on board, they keep track of your travels on personal time off, if a flight gets cancelled on your way back from vacation it’s your fault (lol) and you get what’s called an “absent” which is followed by a final warning and a 500dhs deduction from your salary. The accommodation is paid for sure but they choose it for you, you have no say in it whatsoever until much later and even when you get the chance to move they make it so hard it’s basically impossible. Some supervisors think they are kings and queens of the world and check on every single thing you do hoping you make a mistake so that they can report you to management. The more reports you submit the better (at least that’s what they think). If you have a serious disease like cancer for example, they ask you to resign and if you don’t they fire you. If you get pregnant in the first 3 years of being employed there, they fire you. If a customer writes a complain about you they won’t even listen to your side of the story, they will directly issue a warning. 3 warnings and you’re fired. I had a customer calling me a “slave” once and my supervisor, when I told him what happened, told me he was sure I must have done something to upset the passenger and that it had to be my fault yes or yes. It’s literally insane, I’ve lost weight, sleep and my mental health. I was literally depressed and had to go seek medical help outside the company because even tho they do offer psychology and therapy sessions, those therapists report everything to management and if management knows you used the word “depression” they fire you. They have their own clinic for Emirates employees but the actual doctors in there are probably 1/2. The rest of them are poorly trained personnel that will always tell you that the right medicine for whatever issue you have is panadol (from UTIs to migrane to a broken finger or a burn on your leg). Getting a referral to see an outside doctor is as hard as it was for Voldemort to kill Harry Potter (and we all know how that went). Right before peak season periods (July-August and Christmas time) they literally send out emails asking to not call sick to avoid operation disruption. On top of all of this chaos the job is terrible, sometimes you work on a 14/15h flight (which means a 17/18h duty) and only get 24h rest before doing it again. Your make up and the way you look needs to be neat and impeccable at all times, how can it be if you made me work 18h and sleep only 2??? They say “you’ll stay at the best hotels in the world” and that’s pretty far from the truth. You’re going to end up staying at some hotels were everything is dirty, the personnel is rude and they even try to steal your stuff. I honestly do not know how I lasted multiple years in this environment, it took a tool on my mental health that is very hard to describe with words.",-1
23,Glassdoor,Physically exhausting/ almost always new co workers/ circadian rhythms get messed up,-1
23,Glassdoor,you are one of thoussands emplyees so personal connection with your team is not that strong,-1
24,Glassdoor,"You will work!! We make it look glamorous but it’s actually a dirty job. Lots of pressure from managers and supervisors to perform, which can add more stress on the job. You are expected to be perfect. Some people have problems with their living accommodations. But all the cons are worth it, from my experience. You just have to go into the job with the right mindset and understand the expectations. Do your research before applying to see if it will be a good fit for you. I loved this job :)",-1
24,Glassdoor,"crazy busy rosters, toxic leaders on board and management.",-1
24,Glassdoor,Far away from home but ok for some years,-1
24,Glassdoor,Face to heavy work load,-1
24,Glassdoor,"Work politics, Work hours, Stress",-1
25,Glassdoor,Strict policies and punishment management.,-1
25,Glassdoor,No cons they r good,-1
25,Glassdoor,"Toxic work environment, some people work real hard while others do absolutely nothing, both get paid the same if not less, growth is not determined by skills but rather connections and/or time spent at the company",-1
25,Glassdoor,Not a lot of support for mental health,-1
25,Glassdoor,Tech stack not that good,-1
26,Glassdoor,They as such do not have any cons,-1
26,Glassdoor,Company sees employee as just a number.,-1
26,Glassdoor,The company is too successful in uae,-1
26,Glassdoor,Toxic company and seniors. Very physically demanding,-1
26,Glassdoor,It's a very big company and tends to be difficult to go up the ladder. No labor unions allowed.,-1
27,Glassdoor,Not prioritising mental and physical health of staff.,-1
27,Glassdoor,So tiring and people are so rude sometimes its harmful to health also,-1
27,Glassdoor,Busy roasters and sometime rest is minimum,-1
27,Glassdoor,"The amount of work that you get is not big, so this might effect your job future if you are planning to stay competitive in the market. It's very very hard to get promoted, and that needs lot of efforts outside your area of expertise, like begging to manager to promote you.",-1
27,Glassdoor,"tiring, long haul flights , you need to manage fatigue",-1
28,Glassdoor,Difficult training. Package not great for pilots at first but gets really good later,-1
28,Glassdoor,Sbsbsbsbs shehdh jsjsbe jsjsjshd jxidnkdod jdbwkakdudb,-1
28,Glassdoor,"Schedule is quite hectic, you can have a US layover followed by a turn around, followed by another US layover. By the time you’re a back you barely remember your own name",-1
28,Glassdoor,Long hours sometimes you don't get the flights you want,-1
28,Glassdoor,None i can think of,-1
29,Glassdoor,Nationality-based payscale; Corporate politics (as probably with any other large company),-1
29,Glassdoor,Psychological pressure and fatigue from operation. lack of transparency. No retirement stamp. No basic legal protection during probation.,-1
29,Glassdoor,You have to be based in Dubai. Toxic management.,-1
29,Glassdoor,There are none at all,-1
29,Glassdoor,"Working hours, company culture, long hours",-1
30,Glassdoor,"A large company that is very procedural, managers are not allowed to apply discretion, high productivity is demanded.",-1
30,Glassdoor,"Family time away
Working on weekends
Night shifts",-1
30,Glassdoor,"Company-provided accommodation is often far from the city, and there is no option to move out unless you purchase a property in Dubai. Layover hotels are also frequently located far from city centers, making it hard to explore destinations — especially if you're seeking cultural experiences. Rosters are extremely demanding, with many consecutive night flights and very limited rest, particularly after ultra-long-haul flights. Layovers are often too short to recover physically or mentally. Crew members frequently fall ill or experience burnout. Career growth is also extremely limited: if you're cabin crew, your only possible advancement is within the same line of work (up to cabin supervisor or purser). Once you reach a certain age, the company often chooses not to renew your contract — regardless of performance. There are virtually no opportunities for internal transfer or career progression to other departments, even for highly experienced and multilingual employees. The relationship with management is poor, and the company culture is driven by fear and control rather than trust and support. Bottom line: Working for Emirates is a life-changing experience with amazing perks, but it comes at a high personal cost. It’s great if you’re young, energetic, and focused on short-term financial and travel goals. But for long-term career development and well-being, the company offers little support or flexibility.",-1
30,Glassdoor,No career progression to become LAE,-1
30,Glassdoor,Exhausting due to shift work,-1
31,Glassdoor,"The layovers are very short in my opinion. I felt exploited. When they hired us in London they promise a nice life in Dubai and good work- life balance, very far from the truth. They are very outdated and treat you as a number not as a human. Really bad experience.",-1
31,Glassdoor,It’s a challenging job because of the shift work around the world and also the quiet long shifts for some flights. Also it’s hard to live away from your family and friends.,-1
31,Glassdoor,All good and no further comments,-1
31,Glassdoor,Strong fear culture Seniors reporting Exhausting No paid maternity leave,-1
31,Glassdoor,"Tired, long hours, getting sick often can cause extra pressure on you due to company kpi s and managers.",-1
32,Glassdoor,A difficult place to work.,-1
32,Glassdoor,Timings Tiring Long years for promotions Strict uniform Easy warnings,-1
32,Glassdoor,As you are based in Dubai you will miss your family and friends.,-1
32,Glassdoor,#NAME?,-1
32,Glassdoor,Sometimes roasters are packed with back to back turnaround flights,-1
33,Glassdoor,"The room for growth is, to an extend very small. you may be on the same grade and level for several years.",-1
33,Glassdoor,I wrote cons in pros,-1
33,Glassdoor,"Grade 7 and lower employees have a lot of deductions, such as family visa and health insurance is deducted from salary, parking is not available so either pay public parking which is full or travel by metro. No education allowance for kids, working hours are 8.5. Favouritism exists and getting a promotion is way too difficult.",-1
33,Glassdoor,work life balance was not great,-1
33,Glassdoor,Upward movements are little difficult,-1
34,Glassdoor,good good good good good,-1
34,Glassdoor,"The hours are difficult, strict management style, difficult sickness policy, very tiring",-1
34,Glassdoor,"- Disregard for personal well being - Toxic Managment: higher and middle management don't really care about people, ironically, within a service industry that focus on caring about ""customers"" (passengers) - Disregard of holidays",-1
34,Glassdoor,Same as the above statement,-1
34,Glassdoor,Strict on benefits such as working from home if you are more focused on your work life balance.,-1
35,Glassdoor,But some managers are rude and micromanage. Promotion will take ages.,-1
35,Glassdoor,"Opportunity to travel the world and explore different cultures and destinations. Attractive benefits, including housing allowance, transportation allowance, membership，heavily discounted flight tickets, and hotel deals. Dynamic work environment with diverse experiences and people from all walks of life.",-1
35,Glassdoor,You have to work without stopping,-1
35,Glassdoor,No clear routes for progression.,-1
35,Glassdoor,"very toxic work environment, you can't build a career there",-1
36,Glassdoor,Exhausting I got sick a lot,-1
36,Glassdoor,Not a great paymaster compared with other industries.,-1
36,Glassdoor,I'm sales working in Dubai and ajman,-1
36,Glassdoor,No negative here. No bad.,-1
36,Glassdoor,Toxic work environment. Work overload. Unfair distribution of accommodations. Salary not adjusted for inflation,-1
37,Glassdoor,I dont really know hmm,-1
37,Glassdoor,"Very toxic company, fear takes over the crew. No Human Resources at all to be sensible for your personal problems. You are just a number there.",-1
37,Glassdoor,Results oriented only. No personal relationship with employees,-1
37,Glassdoor,Physically and mentally demanding strict rules and high standards Limited personal time Career growth within the airline can be slow,-1
37,Glassdoor,The Salary not much high,-1
38,Glassdoor,Accommodation is something that they could definitely improve,-1
38,Glassdoor,horrible culture and no human rights,-1
38,Glassdoor,Nothing much to complain about,-1
38,Glassdoor,"Like every company , politics",-1
38,Glassdoor,"Poor staff treatment, exhausting rosters",-1
39,Glassdoor,Challenging Work schedule Upgrade is hard,-1
39,Glassdoor,"sleep deprivation, hectic flying, long term tiredness, not flexible management",-1
39,Glassdoor,There are none that I can think of,-1
39,Glassdoor,Heavy on the mind and body. You need to be healthy for this job,-1
39,Glassdoor,"No remote work. Office is far, next to the airport",-1
40,Glassdoor,no remote or hybrid work,-1
40,Glassdoor,"Jet lag, work on holidays",-1
40,Glassdoor,"- Stressful work environment that encourages reporting colleagues one another - Passenger complaint is taken seriously regardless of the Crew involvement - Long flying hours and an exhausting on board service offering - No voice for the Crew and management is terrible ( not supporting Crew ) - Management pushes you to get back to fly if you are on a sick leave and do not care about your health status ( harassment through company mails and calls on your personal mobile number ) - Many nationalities and many cultures so you always have to wear the stigma hat of where you come from ,as it follows you throughout your time in emirates . - Fast career progression for native English speakers which is unfair : South africa ( the whites are leading trainings and implementing company protocols) , British, Australians , US citizens - Company is pushing colleagues to report each other regardless - Minimum days off between long duties ( between the rest in Dubai ) - Company provides accommodation but it looks rather like a Jail with the security observing and monitoring the Crew on their least moves ( cameras everywhere , visitors are restricted to come visit if they are not emirates Crew, Security informs the company of everything that may happen , they are crazy about fumes and smoke and all the apartments are non smoking so they can flip on the least alarm activation for smoke for example then you have to justify yourself ) - No social security plans , no voice and no retirement plan - If you reach 50 , they don't renew your visa so they force you to stop flying . - Hundreds of stories of Crew getting fired for silly reasons - No second chance no compassion for Crew whatsoever - A lot of backstabbing - Stress , Stress , Stress to always get reported by a purser , a colleague or someone in the office - Nobody gets appreciated enough as it's many people and a lot want to shine at the same time so company looses track of who is good and who is bad and who is who",-1
40,Glassdoor,"Away from family
Hard to build family",-1
40,Glassdoor,Salary is not so good,-1
41,Glassdoor,No new year celebration bonus Highly competitive environment,-1
41,Glassdoor,inexperienced management team and backstab culture,-1
41,Glassdoor,"Large company, no work from home at all.",-1
41,Glassdoor,work hours supervisors ego fast pace and ruthless customers,-1
41,Glassdoor,Close mindset Poor work environment in the Uniform stores,-1
42,Glassdoor,The uniform is slightly uncomfortable,-1
42,Glassdoor,Pathetic and laughable attitude of manager and others. Got a little gestapo running the department on the airport where everyone is looking to rat on you and others just because the manager and his cronies love gossips and to interfere in your private lives. Inefficient and ignorant staff just behave arrogant with you because they are in the job for many years and think they are better. But they know nothing of the job. Most of the supervisors have no guts to come and take a decision so they talk rudely if you call them on the gates. Why? The manager supports this if they suck up to him.,-1
42,Glassdoor,"Irregular Hours: Emirates cabin crew often works irregular hours, including nights, weekends, and holidays. This can take a toll on your personal life and sleep schedule. Long Haul Flights: While the travel opportunities are great, long-haul flights can be physically and mentally exhausting. The time zone changes, jet lag, and the demands of managing passengers for long hours can be challenging. Time Away from Family: If you’re based in Dubai and your family is elsewhere, being away from home for extended periods can be tough. The nature of the job means you may spend a lot of time away from loved ones. Physically Demanding: The job can be physically taxing, especially with the constant movement, lifting heavy items, and being on your feet for long hours. The demands of the job can affect your body over time. Customer Service Stress: You’ll often deal with difficult or upset passengers, which can be stressful. Handling challenging situations requires patience, diplomacy, and strong interpersonal skills. Strict Appearance Standards: Emirates has a strict grooming and appearance policy, which means you need to maintain a certain look. This includes things like hair, makeup, and uniform standards, which may be a con for some people who prefer more freedom in their personal style. Limited Career Mobility",-1
42,Glassdoor,lifestyle is hard to manage.,-1
42,Glassdoor,Poor company culture towards cabin crew Gets questioned for every single mistake Poor management Unhuman,-1
43,Glassdoor,"This company that has no values, the whole technical team is politicized with Europeans trying to treat Asian as slaves, and forcing them to do all their assigned workload. If you are relocating, you must think twice before joining this company.",-1
43,Glassdoor,Toxic management Training is like being in the army Short layovers - constantly restless,-1
43,Glassdoor,Poor treatment Discrimination Arrogance in management,-1
43,Glassdoor,"Most layovers are 24 hours which sometimes isn’t enough to rest (especially for Long flights 14 hours +, hours can be very long, most flights depart in the middle of the night so extremely sleep deprived from that. It can be hard to keep a certain routine like gym etc because your tired all the time but I think the pros out-way the cons.",-1
43,Glassdoor,"No cons so far, it is a very good workplace",-1
44,Glassdoor,There isnt that much that I can think of,-1
44,Glassdoor,Long working hours and takes a while to get benefits,-1
44,Glassdoor,"long hours, strict management, low pay",-1
44,Glassdoor,#NAME?,-1
44,Glassdoor,You interact with many people,-1
45,Glassdoor,Just living away from home,-1
45,Glassdoor,No promotion opportunities that are clear or available,-1
45,Glassdoor,Not enough pay for this kind of shift work,-1
45,Glassdoor,"Loads, micro managing at a senior level.",-1
45,Glassdoor,"low salary , never increases",-1
46,Glassdoor,Stressful and shifts get to you.,-1
46,Glassdoor,Tough and long working hours,-1
46,Glassdoor,its difficult to go up ladder,-1
46,Glassdoor,Poor treatment from company. No care for staff. Worked to the bone,-1
46,Glassdoor,Unequal salary between pilots with similar experience (hours) fairness principle totally disregarded,-1
47,Glassdoor,You work a lot and overworking,-1
47,Glassdoor,"Long hours
Night shifts
Retirement age",-1
47,Glassdoor,"Shifts, overtime, work life balance.",-1
47,Glassdoor,do not recommend if you care about your mental health,-1
47,Glassdoor,Hours are giving a month in advance so can’t plan.,-1
48,Glassdoor,Highly competitive and large number of employees,-1
48,Glassdoor,"Horrible management, reporting culture, mentality unstable employees",-1
48,Glassdoor,tiring. long hours. packed schedules. difficult to get leave when you want,-1
48,Glassdoor,good package for living in dubai,-1
48,Glassdoor,Not so flexible with uniform / appearance,-1
49,Glassdoor,"Inmature work environment
Careless management",-1
49,Glassdoor,"Modern slavery, management has no respect for you",-1
49,Glassdoor,I haven't really faced any cons working for the company.,-1
49,Glassdoor,Flying over different time zones,-1
49,Glassdoor,You wont have a private life.,-1
50,Glassdoor,"Very regulated for safety and PR reasons, do not apply if you are not good at following rules.",-1
50,Glassdoor,"sleepless nights
jet lag
no routine",-1
50,Glassdoor,Difficult to swap shifts or arrange leave. Lack of communication with direct manager.,-1
50,Glassdoor,"Toxic culture, crew reporting one another to get promoted",-1
50,Glassdoor,Don’t expect them to back you up when life throws curve balls at you. Could be mental or physical health.,-1
,,,
,,,
,,,
,,,+
